    Angle	RCS(dBm^2)
 -180.0000	   32.6326
 -179.0000	   32.6112
 -178.0000	   32.5471
 -177.0000	   32.4400
 -176.0000	   32.2896
 -175.0000	   32.0955
 -174.0000	   31.8571
 -173.0000	   31.5735
 -172.0000	   31.2439
 -171.0000	   30.8671
 -170.0000	   30.4418
 -169.0000	   29.9665
 -168.0000	   29.4392
 -167.0000	   28.8578
 -166.0000	   28.2199
 -165.0000	   27.5225
 -164.0000	   26.7624
 -163.0000	   25.9359
 -162.0000	   25.0385
 -161.0000	   24.0660
 -160.0000	   23.0136
 -159.0000	   21.8769
 -158.0000	   20.6537
 -157.0000	   19.3455
 -156.0000	   17.9634
 -155.0000	   16.5367
 -154.0000	   15.1271
 -153.0000	   13.8427
 -152.0000	   12.8318
 -151.0000	   12.2243
 -150.0000	   12.0440
 -149.0000	   12.1887
 -148.0000	   12.5067
 -147.0000	   12.8726
 -146.0000	   13.2095
 -145.0000	   13.4785
 -144.0000	   13.6634
 -143.0000	   13.7601
 -142.0000	   13.7705
 -141.0000	   13.6990
 -140.0000	   13.5516
 -139.0000	   13.3348
 -138.0000	   13.0560
 -137.0000	   12.7232
 -136.0000	   12.3457
 -135.0000	   11.9346
 -134.0000	   11.5028
 -133.0000	   11.0659
 -132.0000	   10.6415
 -131.0000	   10.2490
 -130.0000	    9.9076
 -129.0000	    9.6343
 -128.0000	    9.4408
 -127.0000	    9.3317
 -126.0000	    9.3038
 -125.0000	    9.3471
 -124.0000	    9.4476
 -123.0000	    9.5894
 -122.0000	    9.7575
 -121.0000	    9.9388
 -120.0000	   10.1230
 -119.0000	   10.3022
 -118.0000	   10.4710
 -117.0000	   10.6260
 -116.0000	   10.7651
 -115.0000	   10.8875
 -114.0000	   10.9931
 -113.0000	   11.0826
 -112.0000	   11.1569
 -111.0000	   11.2173
 -110.0000	   11.2652
 -109.0000	   11.3021
 -108.0000	   11.3296
 -107.0000	   11.3492
 -106.0000	   11.3625
 -105.0000	   11.3709
 -104.0000	   11.3758
 -103.0000	   11.3785
 -102.0000	   11.3801
 -101.0000	   11.3816
 -100.0000	   11.3840
  -99.0000	   11.3881
  -98.0000	   11.3946
  -97.0000	   11.4040
  -96.0000	   11.4167
  -95.0000	   11.4333
  -94.0000	   11.4537
  -93.0000	   11.4784
  -92.0000	   11.5074
  -91.0000	   11.5406
  -90.0000	   11.5782
  -89.0000	   11.6201
  -88.0000	   11.6661
  -87.0000	   11.7162
  -86.0000	   11.7703
  -85.0000	   11.8282
  -84.0000	   11.8897
  -83.0000	   11.9548
  -82.0000	   12.0232
  -81.0000	   12.0949
  -80.0000	   12.1697
  -79.0000	   12.2475
  -78.0000	   12.3281
  -77.0000	   12.4114
  -76.0000	   12.4973
